nose,L eye,R eye,mouth,L chin jaw ,R chin jaw ,AGE,ID
0.003490,0.003490,0.012690,0.000635,0.000635,0.000000,13.210000,15094.000000
0.010316,0.008941,0.008253,0.002751,0.000344,0.000000,14.500000,16078.000000
0.000686,0.000000,0.000343,0.008919,0.000686,0.001715,14.850000,15050.000000
0.005219,0.012068,0.003914,0.003588,0.002283,0.001631,15.340000,1297.000000
0.003357,0.011596,0.000305,0.001221,0.000000,0.000000,15.400000,16194.000000
0.004301,0.000000,0.001075,0.018638,0.004301,0.003943,16.200000,5003.000000
0.000342,0.000342,0.000000,0.000342,0.000000,0.000000,17.100000,942.000000
0.000907,0.000000,0.000302,0.026904,0.016324,0.001209,17.450000,15041.000000
0.004800,0.000640,0.042560,0.005760,0.000640,0.002240,17.570000,7099.000000
0.029787,0.011129,0.023241,0.011784,0.000982,0.002619,18.410000,5156.000000
0.103086,0.000000,0.016480,0.057854,0.003857,0.012272,18.690000,989.000000
0.201869,0.000667,0.011011,0.109109,0.001001,0.000334,19.000000,3311.000000
0.154313,0.011456,0.014825,0.169474,0.002022,0.001348,19.100000,3338.000000
0.001983,0.000330,0.000000,0.010245,0.000000,0.001652,19.560000,10226.000000
0.028511,0.000426,0.023830,0.057021,0.001277,0.002553,19.800000,4020.000000
0.003753,0.001732,0.001443,0.026848,0.063799,0.030600,19.890000,15308.000000
0.001785,0.004284,0.001428,0.000357,0.000357,0.002142,20.750000,4208.000000
0.023263,0.006122,0.002449,0.004285,0.000000,0.000612,20.790000,1369.000000
0.057436,0.267692,0.118974,0.002393,0.000684,0.001026,21.100000,3103.000000
0.000000,0.000000,0.000000,0.000000,0.001497,0.014068,21.530000,10705.000000
0.053561,0.004260,0.063603,0.006391,0.000000,0.000913,21.580000,3593.000000
0.009091,0.000000,0.001136,0.029924,0.000379,0.000379,21.600000,13892.000000
0.009579,0.009962,0.002299,0.001149,0.000383,0.005747,21.670000,3435.000000
0.010920,0.011582,0.018200,0.001655,0.006287,0.000662,21.750000,15499.000000
0.000000,0.003708,0.000000,0.000824,0.000000,0.000412,21.800000,10988.000000
0.069727,0.044529,0.008284,0.079738,0.002416,0.003452,22.880000,15090.000000
0.080197,0.002159,0.047810,0.328809,0.004627,0.008945,23.840000,7255.000000
0.053257,0.068769,0.002585,0.007756,0.003619,0.000517,24.680000,7872.000000
0.000334,0.000668,0.000334,0.000334,0.000000,0.000000,25.350000,3439.000000
0.011544,0.001649,0.000660,0.169195,0.000989,0.002968,25.640000,3238.000000
0.006151,0.000000,0.002894,0.000724,0.000000,0.001085,25.870000,13998.000000
0.131699,0.000350,0.014011,0.448336,0.003152,0.003152,28.980000,4715.000000
