nose,Glabella,eye-left,eyebrow - left,eye-right,eyebrow - right,mouth,Chin,jaw-left,Chin,jaw-right,AGE,ID
0.410407,0.031013,0.006892,0.004135,0.012061,0.003446,0.062715,0.001034,0.001378,0.001034,0.000345,14.990000,15079.000000
0.021915,0.013209,0.000600,0.002402,0.017112,0.016812,0.013209,0.001501,0.000300,0.000901,0.000000,15.270000,16205.000000
0.124214,0.017610,0.011950,0.000943,0.047170,0.011321,0.087107,0.004403,0.002201,0.022642,0.110692,16.460000,15451.000000
0.067194,0.066864,0.098155,0.127141,0.066535,0.086627,0.041173,0.008235,0.007246,0.002635,0.002306,16.520000,15575.000000
0.160714,0.035714,0.058036,0.004464,0.116071,0.004464,0.040179,0.000000,0.017857,0.000000,0.000000,16.570000,15810.000000
0.054323,0.000853,0.018771,0.002275,0.002560,0.000284,0.137656,0.068544,0.001422,0.023038,0.002275,17.000000,7643.000000
0.024739,0.190592,0.058885,0.064111,0.504530,0.047387,0.011498,0.000000,0.000697,0.000000,0.002787,17.540000,13939.000000
0.012439,0.011529,0.068265,0.000303,0.127427,0.000303,0.001214,0.000000,0.000303,0.000000,0.000000,18.050000,8248.000000
0.222029,0.103172,0.094807,0.040084,0.111537,0.028581,0.134193,0.003137,0.002091,0.000697,0.008017,18.140000,16007.000000
0.044205,0.245520,0.296894,0.046595,0.077061,0.000597,0.115890,0.000000,0.055556,0.000000,0.000299,18.210000,7666.000000
0.019608,0.016591,0.006033,0.032680,0.062846,0.091001,0.013575,0.000503,0.000503,0.000503,0.000000,18.560000,15936.000000
0.011395,0.016015,0.437635,0.007699,0.383431,0.003080,0.023098,0.000616,0.000308,0.000616,0.000308,19.250000,16254.000000
0.171410,0.208603,0.126779,0.015524,0.273609,0.012937,0.032342,0.000000,0.000000,0.000000,0.003234,19.430000,15737.000000
0.146261,0.004633,0.001985,0.001324,0.015553,0.002978,0.416942,0.009265,0.022171,0.007280,0.004633,20.480000,8405.000000
0.116256,0.066995,0.240066,0.000657,0.268309,0.001314,0.066010,0.004598,0.000657,0.001970,0.001642,21.590000,16028.000000
0.033936,0.024345,0.004426,0.001844,0.176319,0.051273,0.005164,0.000000,0.001475,0.000369,0.001475,21.980000,6761.000000
0.042358,0.009531,0.018708,0.000706,0.044123,0.000353,0.123191,0.001412,0.000000,0.000353,0.000353,22.220000,8404.000000
0.516546,0.004727,0.001261,0.000000,0.002521,0.000630,0.115033,0.005988,0.007564,0.002206,0.000315,22.670000,16011.000000
0.019691,0.015097,0.221858,0.018051,0.013456,0.006236,0.171644,0.000328,0.000000,0.000328,0.000000,24.200000,7332.000000
0.009559,0.000490,0.000245,0.001225,0.004412,0.001961,0.166667,0.005637,0.000980,0.333333,0.095833,25.160000,15837.000000
